Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
236182,B000U9WZ90,A3DN4WC93DUEY0,"K. Kannan ""shopping machine""",1,1,5,1241913600,Great extract,This is the second time I purchase this product. It works great for root beer floats and sorbets.
400671,B0052XN0EI,A3DNG54DMW2G88,M. Klinker,0,0,5,1335830400,Very Good Popcorn,"Arrived in very good time.  Very Good Popcorn.  excellent value.  Pops aggressively however in does not pop all the kernels.  Having said that in a half cup of corn about 12 - 15 kernels remained unpopped.  It is still a significant savings over store bought, even store brand, and equal to Orville's brand in quality and taste.  First Rate!"
432371,B003A199AI,A1CVEGNOQ62A25,Edward,1,4,1,1314921600,No flavor,"After eating popchips for some time, I thought I would try something different and came across these.  Firstly I missed that they were fries. I could live with that, but when I tried the bbq, I was very disappointed. There was practically no flavor to them. When I finished the bag, I noticed a lot of the flavoring in the bottom of the bag. I tried 2 other flavors and they had little to no flavor.<br /><br />Popchips are amazing and so much flavor with each chip compared to these."
446671,B003QTZ2RS,A516WMM145WY3,Dawn,0,0,4,1303603200,"It's good, but not great","I love Sweet Tea.  The Sweeter, the better for me.  This is good, it is sweet, it is drinkable...it does not have artificial sweeteners so it doesn't leave a bad aftertaste.  It doesn't have a strong lemon flavor like some teas have, which is a plus in my book.  If you want a sweetened tea, this is it.  But, if you want a super sweet tea, keep looking."
354737,B002UQIZ2C,A2EPRB513HYKV8,"Andrew H. Mcdonald ""Andrew McDonald""",10,10,5,1200355200,A great way to get your cookie fix.,"A review for cookies?  Why not?<br /><br />My wife and I love Oreos.  Every once in a while she picks up a bag at the store and we eat some with milk.<br /><br />The problem is that we feel compelled to finish off the bag before they get stale.  Since all the kids are gone that's tough.  It's not really good for us and after 3 or 4 nights it gets kind of old.<br /><br />Recently she got a 12 pack assortment of cookies which contained Oreos, Nutter Butters, etc.  I wondered if there was a way to just buy a whole bunch of ""snack packs"" for Oreos and sure enough Amazon has them.<br /><br />Now we can have that 6 cookie ""fix"" without having to remember to pick them up at the store or worry about them going stale if we don't finish them off."
350524,B002OL2MWM,A3AU2RXR0NB53E,"Jason S. Wrench ""Jason S. Wrench, Ed.D.""",0,0,5,1281052800,Great Kit,"I bought this kit for a friend's birthday, and he loves it. I've used it and it's amazing at how quickly it aerates wine. I would recommend this for any wine enthusiast."
351709,B004VLVCI8,A3DN8Z4WT8TRS3,Oatmeal Daft,2,2,5,1346112000,Real Scottish Oatmeal,"I am a Scottish man living in America. Grandson of an Oatmeal Miller so I know a little bit about Oatmeal. This is genuine Scottish style Oatmeal ground between two stones to make a rough flour. What Americans call oatmeal isn't oatmeal its flaked oats.<br /><br />I had been hunting for oatmeal for years as I far prefer porridge made with meal over the flaked oats. It has a nuttier flavour and a better texture. Then I found this and was delighted. I recommend it to lots of people. If you want genuine Scottish oatmeal porridge, only add a pinch of salt, no sugar and serve with separate cup of milk. Take a spoonful of oats and then dip into the milk to cool. fair braw."
345747,B000ED9L9E,AH4VBTC3M4X2X,Esha,0,0,5,1347148800,My kids love it!,Microwave it on low heat for 3 minutes - Milk + Oatmeal. Enjoy with cranberries/ strawberries. Good amount of fiber and nutrition.
472407,B004URWG9C,ARIA1F01A9YIC,David J Cavallero,0,0,1,1312934400,Horrible,I bought this item from the super market and it is one of the most foul tasting thing I've ever tasted. Garbage!!!
79160,B003FFJJCC,AOEQI67PAS9GS,pandulce,3,6,1,1290124800,Awful custumer service from faerie's finest,"Don't order from Faerie's finest, you will be wasting your time. Order your product from somewhere else.<br />Ingredients were not available for shipment when they promised and I kept calling for a status of my order. Every time they told me the same thing: ""next week we'll receive the ingredients and after that we'll ship the product"". Over an over the same thing until I got tired and I had to cancel my order. The person on the phone was not willing to help or answer my questions. Very frustrating and a waste of time."
